Title,Company,Career,Rewards
AI설문조사 플랫폼 Backend Engineer,인텔리시아,경력 5년 이상,합격보상금 100만원
[서울] Sr. 백앤드 개발자(3년이상),크리스틴컴퍼니,경력 4년 이상,합격보상금 100만원
백엔드 개발자 (3~7년),크로우,경력 3-7년,합격보상금 100만원
[내집스캔] 부동산 안전도 표준을 만드는 개발자,한국부동산데이터연구소,경력 5-15년,합격보상금 100만원
백엔드 개발 (Nest.js/Typescript-5년차 이상),한국공교육원,경력 5-10년,합격보상금 100만원
[유심사] 시니어 개발본부 리드,가제트코리아,경력 5년 이상,합격보상금 100만원
[내집스캔] 부동산 안전도 표준 개발자,한국부동산데이터연구소,경력 3-15년,합격보상금 100만원
DApp 백엔드 개발자 (계약직),쿠키랩스,경력 1년 이상 · 계약직,합격보상금 20만원
AI설문조사 플랫폼 Backend Engineer,인텔리시아,경력 5년 이상,합격보상금 100만원
[서울] Sr. 백앤드 개발자(3년이상),크리스틴컴퍼니,경력 4년 이상,합격보상금 100만원
백엔드 개발자 (3~7년),크로우,경력 3-7년,합격보상금 100만원
[내집스캔] 부동산 안전도 표준을 만드는 개발자,한국부동산데이터연구소,경력 5-15년,합격보상금 100만원
백엔드 개발 (Nest.js/Typescript-5년차 이상),한국공교육원,경력 5-10년,합격보상금 100만원
[유심사] 시니어 개발본부 리드,가제트코리아,경력 5년 이상,합격보상금 100만원
[내집스캔] 부동산 안전도 표준 개발자,한국부동산데이터연구소,경력 3-15년,합격보상금 100만원
DApp 백엔드 개발자 (계약직),쿠키랩스,경력 1년 이상 · 계약직,합격보상금 20만원
AI Agent 개발자 [미들],온더룩,경력 5-6년,합격보상금 100만원
백엔드 개발자,플랜바이테크놀로지스,경력 3-10년,합격보상금 100만원
[AX CIC] Backend Engineer,뤼튼테크놀로지스,경력 3년 이상,합격보상금 100만원
[굴뚝강아지] 재미 브랜드 온라인 MD (3년 미만),에고이즘,신입-경력 3년,합격보상금 100만원
"개발팀장 (React Native + Node.js 개발, 5년 이상)",더블유클럽,경력 4-8년,합격보상금 100만원
백엔드 개발자 (5년 이상),테이텀,경력 5년 이상,합격보상금 100만원
백엔드 개발자,온다(ONDA),경력 3년 이상,합격보상금 100만원
백엔드 개발자 (3년 이상),아이오트러스트,경력 3-10년,합격보상금 100만원
[미리캔버스] 주니어 Node.js Developer,미리디,경력 1-3년,합격보상금 100만원
[메이크샵] 백엔드 개발자(NestJS),커넥트웨이브,경력 3-5년,합격보상금 100만원
"백엔드 엔지니어 (NestJS, Typescript 2년 이상)",풀림,경력 2-5년,합격보상금 100만원
백엔드 개발자 (3년 이상),서플라이스,경력 3-7년,합격보상금 100만원
Full Stack Developer (Nest.js) (풀스택 개발자),아이샵케어,경력 1-5년,합격보상금 100만원
Front-End/FullStack Developer,내러티브(Narrative),경력 2-6년,합격보상금 100만원
"AI 채용솔루션 풀스택 개발자(NestJS, React) 3년 이상",인딥에이아이,경력 3년,합격보상금 100만원
"풀스택 개발자 (Product Builder, 3년 이상)",브리딩(BreedingCorp.),경력 3-9년,합격보상금 100만원
백엔드 개발자,블록에스,경력 3-15년,합격보상금 100만원
NestJS 백엔드 개발자,루빗,경력 4-9년,합격보상금 100만원
Back-End Engineer,아임웹,경력 2년 이상,합격보상금 100만원
백엔드 개발자 (4~7년),타운즈(타운카),경력 4-7년,합격보상금 100만원
백엔드 개발자,몰리턴,경력 3-7년,합격보상금 100만원
백엔드 개발자 (3년 이상),에이엠랩스,경력 3년 이상,합격보상금 100만원
서버 개발자 (백엔드),원셀프월드,경력 3-8년,합격보상금 100만원
병원 EMR 데이터 마이그레이션 엔지니어 (Typescript/NestJS),위버케어,경력 2-10년,합격보상금 100만원
[콜로소] 백엔드 개발자,데이원컴퍼니,경력 1-3년,합격보상금 100만원
Back-end Engineer(신입),젠스타파트너스,신입 · 계약직,합격보상금 20만원
[미리캔버스] 풀스택 개발자 (NestJS),미리디,경력 3-6년,합격보상금 100만원
[Commerce] 백엔드 개발자,와이즐리컴퍼니,경력 2년 이상,합격보상금 100만원
[뤼튼/크랙] Backend Engineer,뤼튼테크놀로지스,경력 3년 이상,합격보상금 100만원
Cloud Backend Engineer,한화비전,경력 4-10년,합격보상금 100만원
